#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 915 SYSCALL                      622                0
 932 TEST                       19925                0
 941 TZCNT                        471                0
 943 UCOMISD                       15                0
 944 UCOMISS                        4                0
 947 UD2                            8                0
1002 VBROADCASTSS                   1                0
1319 VMOVAPS                        4                0
1320 VMOVD                        123                0
1322 VMOVDQA                      575                0
1324 VMOVDQA64                    402                0
1325 VMOVDQU                     1292                0
1327 VMOVDQU32                      1                0
1328 VMOVDQU64                    812                0
1329 VMOVDQU8                       8                0
1338 VMOVNTDQ                     100                0
1342 VMOVQ                        118                0
1349 VMOVUPS                      173                0
1381 VPADDB                       460                0
1390 VPAND                        130                0
1392 VPANDN                       380                0
1405 VPBROADCASTB                  37                0
1406 VPBROADCASTD                  19                0
1413 VPCMPB                        48                0
1414 VPCMPD                        33                0
1415 VPCMPEQB                    1111                0
1416 VPCMPEQD                     601                0
1423 VPCMPGTB                     184                0
1431 VPCMPUB                      101                0
1561 VPMINUB                      243                0
1562 VPMINUD                      149                0
1573 VPMOVMSKB                   1030                0
1617 VPOR                          76                0
1658 VPSHUFB                        1                0
1686 VPSUBB                        92                0
1694 VPTERNLOGD                    40                0
1697 VPTESTMB                     132                0
1698 VPTESTMD                      65                0
1701 VPTESTNMB                    155                0
1702 VPTESTNMD                    131                0
1713 VPXOR                         73                0
1715 VPXORQ                       101                0
1816 VZEROALL                      46                0
1817 VZEROUPPER                   429                0
1825 WRPKRU                         1                0
1830 XABORT                         4                0
1832 XADD_LOCK                     39                0
1833 XBEGIN                         3                0
1834 XCHG                         470                0
1835 XEND                           1                0
1836 XGETBV                         1                0
1838 XOR                        10653                0
1839 XORPD                          6                0
1840 XORPS                          2                0
1843 XRSTOR                         2                0
1847 XSAVE                          1                0
1849 XSAVEC                         1                0
1858 XTEST                         46                0
3000 *total                    420783                0
3001 *mem-atomic                 1050                0
3002 *stack-read                43105               55
3003 *stack-write               46212                0
3004 *iprel-read                 6449                8
3005 *iprel-write                2080                0
3007 *mem-read-1                 7598               52
3008 *mem-read-2                  980                0
3010 *mem-read-4                16541               40
3014 *mem-read-8                57036               57
3016 *mem-read-10                  94                0
3022 *mem-read-16                4028                0
3034 *mem-read-28                   6                0
3038 *mem-read-32                2395                0
3070 *mem-read-64                 469                0
3518 *mem-write-0                   1                0
3519 *mem-write-1                3455               72
3520 *mem-write-2                 546                0
3522 *mem-write-4               11587               17
3526 *mem-write-8               47036               73
3528 *mem-write-10                 37                0
3534 *mem-write-16               3325                0
3546 *mem-write-28                  5                0
3550 *mem-write-32               1078                0
3582 *mem-write-64                226                0
4030 LAST                           1                0
4094 LAST                           2                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   7 ADC                            4                0
  10 ADD                        15290                0
  33 AND                         3985                0
  57 BLSMSK                         1                0
  67 BSF                          218                0
  68 BSR                            3                0
  69 BSWAP                          2                0
  70 BT                            32                0
  79 CALL_NEAR                   1723                0
  98 CDQE                          51                0
 129 CMOVB                          0               63
 130 CMOVBE                         0                4
 133 CMOVNB                         0                8
 134 CMOVNBE                        0               92
 139 CMOVNS                         0                1
 140 CMOVNZ                         0              249
 143 CMOVS                          0                4
 144 CMOVZ                          0               84
 145 CMP                        18335                0
 174 CMPXCHG_LOCK                   6                0
 178 CPUID                         68                0
 179 CQO                            2                0
 225 DIV                          131                0
 354 IDIV                           2                0
 355 IMUL                        1072                0
 357 INC                           27                0
 380 JB                          1310                0
 381 JBE                          964                0
 384 JL                             6                0
 385 JLE                          167                0
 386 JMP                         2350                0
 389 JNB                         1552                0
 390 JNBE                        1440                0
 391 JNL                          344                0
 392 JNLE                          83                0
 395 JNS                           12                0
 396 JNZ                        11214                0
 400 JS                           262                0
 401 JZ                         19324                0
 459 LEA                         7312                0
 460 LEAVE                         54                0
 499 MOV                        49483                0
 501 MOVAPS                       462                0
 503 MOVD                          20                0
 508 MOVDQA                       297                0
 509 MOVDQU                        73                0
 511 MOVHPD                       288                0
 512 MOVHPS                         4                0
 514 MOVLPD                       291                0
 526 MOVQ                         561                0
 536 MOVSX                         90                0
 537 MOVSXD                       787                0
 539 MOVUPS                       422                0
 540 MOVZX                       9158                0
 544 MUL                           13                0
 552 NEG                           82                0
 554 NOP                         2799                0
 563 NOT                          176                0
 565 OR                           385                0
 599 PCMPEQB                      523                0
 668 PMOVMSKB                     271                0
 689 POP                         5215                0
 699 POR                           52                0
 712 PSHUFD                        18                0
 720 PSLLDQ                        90                0
 727 PSRLDQ                        37                0
 730 PSUBB                        237                0
 745 PUNPCKLBW                     18                0
 746 PUNPCKLDQ                      1                0
 747 PUNPCKLQDQ                   365                0
 748 PUNPCKLWD                     18                0
 749 PUSH                        6491                0
 759 PXOR                         423                0
 776 RDTSC                          8                0
 822 RET_NEAR                    1713                0
 825 ROL                           10                0
 826 ROR                            1                0
 838 SAR                          255                0
 841 SBB                           17                0
 855 SETLE                          4                0
 859 SETNLE                       337                0
 863 SETNZ                        109                0
 864 SETO                          10                0
 868 SETZ                         325                0
 878 SHL                         1013                0
 881 SHR                         3665                0
 884 SHUFPD                         1                0
 903 STOSQ                          0              426
 908 SUB                         4301                0
 915 SYSCALL                       58                0
 932 TEST                       16035                0
 941 TZCNT                        101                0
1320 VMOVD                         83                0
1322 VMOVDQA                        5                0
1325 VMOVDQU                      436                0
1405 VPBROADCASTB                  83                0
1415 VPCMPEQB                     292                0
1573 VPMOVMSKB                    219                0
1617 VPOR                          78                0
1713 VPXOR                         97                0
1817 VZEROUPPER                   162                0
1834 XCHG                          90                0
1836 XGETBV                         1                0
1838 XOR                         2812                0
3000 *total                    198817              931
3001 *mem-atomic                   12                0
3002 *stack-read                16238                0
3003 *stack-write               15152                0
3004 *iprel-read                 1734                0
3005 *iprel-write                 488                0
3007 *mem-read-1                12033                0
3008 *mem-read-2                  892                0
3010 *mem-read-4                 6347                0
3014 *mem-read-8                25952                0
3022 *mem-read-16                 351                0
3038 *mem-read-32                 377                0
3519 *mem-write-1                 857                0
3520 *mem-write-2                  32                0
3522 *mem-write-4                2708                0
3526 *mem-write-8               17158                0
3534 *mem-write-16                892                0
3550 *mem-write-32                158                0
# $eof
